model,condition,case_id,risk_band,faithfulness,n_claims,unsupported,fk_grade,consistency,latency_s,words,text
gemma4:e4b,grounded,C01,low,1.0,11,0,15.69,0.634,10.7,128,"Please remember that this is decision support and not a diagnosis. The estimated probability of Parkinson's disease is 15%, which falls into a low-risk band. This estimate was influenced by several voice features: fine-grained irregularity in the voice signal and vocal-fold vibration quality lowered the estimate, while the spectral shape and dynamics of speech (articulation) raised it. Generally, changes like imprecise articulation or altered timing are what screening measures for Parkinsonian speech, which can also show reduced loudness or a monotone voice. Keep in mind that common early features of Parkinson's include tremor, slowness of movement, and muscle stiffness, but changes in speech can also occur; an estimate only indicates the strength of evidence for further assessment, not proof that the disease is present."
gemma4:e4b,ungrounded,C01,low,0.5714285714285714,7,3,14.22,0.582,8.09,100,"This screening result suggests a low risk of Parkinson's disease, with an estimated probability of 15%. This means that based on the voice analysis, the likelihood is currently low. The test looked at several aspects of your speech—some features suggested a higher possibility while others pointed toward a lower one—but overall, the system categorized your risk as low. Please remember that this is only a screening tool and not a diagnosis; you must discuss these results with your doctor who can interpret them alongside your medical history to determine if any further testing or follow-up is needed."
gemma4:e4b,grounded,C02,low,1.0,10,0,15.99,0.738,10.52,103,"This is decision support, not a diagnosis. The estimated probability of Parkinson's disease is 19%, which falls into a low risk band. While this estimate indicates the strength of evidence for further assessment—and does not mean the disease is present—the analysis noted that fine-grained irregularity in your voice and the spectral shape/dynamics of speech (articulation) lowered the estimate, while vowel resonance and loudness raised it. Generally, screening measures look at changes like reduced loudness or imprecise articulation, as common early features of Parkinson's can include changes in speech alongside other signs such as tremor or slowness of movement."
gemma4:e4b,ungrounded,C02,low,0.42857142857142855,7,4,15.94,0.487,8.39,82,"Please understand that this is only a screening tool and not a diagnosis, but overall, your risk level is considered low. Your estimated probability of Parkinson's disease is 19%, which suggests that while some aspects of your voice were noted as potentially concerning, other factors actually lowered your overall score. It is important to discuss these specific results—including the areas where your voice was strongest and weakest—with your doctor so they can interpret this information alongside a full physical examination."
gemma4:e4b,grounded,C03,low,1.0,11,0,17.33,0.779,10.65,119,"This is decision support and does not constitute a diagnosis; the estimated probability of Parkinson's disease is 16%, placing it in a low risk band. The prediction was influenced by fine-grained irregularity in the voice signal and vocal-fold vibration quality raising the estimate, while the spectral shape and dynamics of speech lowered it. It is important to know that common early features of Parkinson's include tremor or slowness of movement, and changes in speech can also occur; screening measures look for signs like reduced loudness or imprecise articulation. Remember that a risk estimate indicates the strength of evidence for further assessment, not a confirmed diagnosis, and a higher estimate means specialist review is more strongly indicated."
gemma4:e4b,ungrounded,C03,low,0.5,6,3,14.57,0.511,8.48,80,"Based on this screening, your estimated probability of Parkinson's disease is low, with a prediction of 16%. While the test noted some minor variations in your voice and vocal cord quality that slightly raised the estimate, other aspects of your speech were clear enough to balance these findings. Please remember that this tool is only an indicator and should not be used alone to make a diagnosis; we recommend discussing these results thoroughly with your doctor for proper medical evaluation."
gemma4:e4b,grounded,C04,moderate,0.9,10,1,14.23,0.687,11.01,102,"This is a decision support tool, not a diagnosis. The estimated probability of Parkinson's disease is 55%, placing you in a moderate risk band. This high estimate means specialist review is strongly indicated; it does not prove that the disease is present. Screening measures look for changes like imprecise articulation or altered timing, which are common features of Parkinsonian speech alongside potential signs such as tremor or slowness of movement. The current assessment was influenced by several voice factors: fine-grained irregularity and vocal-fold vibration quality lowered the estimate, while the spectral shape and dynamics of your speech (articulation) raised it."
gemma4:e4b,ungrounded,C04,moderate,0.5555555555555556,9,4,16.43,0.524,8.77,114,"Based on this screening test, your risk level is currently categorized as moderate, meaning there are some signs that warrant further investigation. The results indicate a 55% estimated probability of Parkinson's disease; please understand that this is a statistical estimate from a machine and is not a diagnosis. The analysis noted variations in the steadiness of your voice and certain patterns in how you articulate speech, but it also found factors that slightly reduce concern. It is very important to discuss these specific findings with your doctor or a neurologist, as they will combine this information with a full physical examination and may recommend further testing to determine the true cause of any changes."
gemma4:e4b,grounded,C05,moderate,1.0,8,0,17.68,0.733,10.33,114,"Please remember that this is clinical decision support and does not confirm a diagnosis. The estimated probability of Parkinson's disease is 52%, placing you in a moderate risk band; however, a higher estimate means specialist review is more strongly indicated, but it is not proof that the disease is present. Common early signs of Parkinson's include tremor, slowness of movement, and muscle stiffness, though changes in speech, handwriting, or facial expression can also occur. While voice-based screening measures look for changes like reduced loudness, breathy quality, or imprecise articulation, your specific analysis noted features related to spectral shape, fine-grained irregularity, and vocal-fold vibration quality that were lowering the overall estimate."
gemma4:e4b,ungrounded,C05,moderate,0.375,8,5,14.8,0.559,8.12,98,"This screening result suggests an estimated probability of Parkinson's disease is 52%, placing your risk in the moderate range. It is important to understand that this test is a screening tool and cannot provide a diagnosis; only a doctor can do that after a full evaluation. While some aspects of your voice patterns were measured, other specific details about how you speak actually helped lower the overall estimate. Because of these results, we recommend discussing this thoroughly with your healthcare provider so they can interpret these findings alongside your physical examination and determine if further testing is needed."
gemma4:e4b,grounded,C06,moderate,1.0,10,0,15.29,0.73,10.6,111,"This result is for decision support only and does not confirm a diagnosis. The estimated probability of Parkinson's disease is 54%, placing you in a moderate risk band, which suggests specialist review is more strongly indicated but is not proof that the disease is present. Speech changes are one area monitored, as Parkinsonian speech can sometimes show reduced loudness or imprecise articulation. The analysis noted conflicting signs: fine-grained irregularity raised the estimate, while spectral shape/dynamics and vowel resonance/loudness lowered it. Keep in mind that common early features of Parkinson's also include tremor, slowness of movement, and muscle stiffness, alongside potential changes in speech, handwriting, or facial expression."
gemma4:e4b,ungrounded,C06,moderate,0.7142857142857143,7,2,18.15,0.483,8.42,96,"Please understand that this is a screening estimate and not a diagnosis; it simply gives us an idea of your risk level, which is currently categorized as moderate. Your voice analysis looked at several different aspects—some features suggested areas of concern, while others indicated good vocal function—which resulted in this 54% probability. Because there are multiple factors contributing to this number, the most important next step is to discuss these results thoroughly with your doctor or a specialist who can combine this information with a full physical examination and determine if further testing is needed."
gemma4:e4b,grounded,C07,high,1.0,9,0,19.71,0.586,10.71,89,"This high-risk assessment indicates an estimated 90% probability of Parkinson's disease, suggesting that specialist review is strongly indicated for further evaluation; however, this result is decision support and does not confirm a diagnosis. The analysis shows conflicting voice signals: fine-grained irregularity in the voice signal and issues with pitch/amplitude stability raise the estimate, while the spectral shape and dynamics of speech (articulation) lower it. Clinically, Parkinsonian speech can involve reduced loudness or imprecise articulation, and common early signs include tremor, slowness of movement, or muscle stiffness."
gemma4:e4b,ungrounded,C07,high,0.5,6,3,16.04,0.443,8.31,93,"This screening test indicates a very high probability of Parkinson's disease, suggesting you are in a high-risk category. The results were primarily concerned with the stability of your voice, noting variations in pitch and volume that can be associated with motor control issues like those seen in Parkinson's. Please understand that this is only a screening tool and not a final diagnosis; it is very important that you discuss these specific findings with your doctor so they can perform a full medical evaluation and determine the next steps for care."
gemma4:e4b,grounded,C08,high,1.0,10,0,17.01,0.675,10.44,109,"Please note that this is clinical decision support and does not constitute a diagnosis. The estimated probability of Parkinson's disease is 89%, placing you in a high-risk band, which means specialist review is strongly indicated; however, this estimate only indicates the strength of evidence and is not proof of the disease. Analysis of your voice showed features like spectral shape and pitch stability that raise concern, while other factors were also considered. Clinically, Parkinsonian speech can involve reduced loudness, imprecise articulation, or altered timing, and common early signs of Parkinson's may include tremor, slowness of movement, or muscle stiffness, alongside potential changes in handwriting or facial expression."
gemma4:e4b,ungrounded,C08,high,0.5714285714285714,7,3,22.8,0.547,7.97,87,"These screening results indicate that several aspects of your voice and speech patterns—specifically related to how stable your pitch is and the clarity of your articulation—are concerning and are often associated with Parkinson's disease, resulting in a high estimated probability. Please understand that this tool provides an estimate and is not a diagnosis; therefore, it is very important that you discuss these results thoroughly with your healthcare provider so they can perform a full physical examination and determine the next steps for proper evaluation."
gemma4:e4b,grounded,C09,high,1.0,10,0,17.57,0.729,10.28,105,"This decision support tool provides an estimated probability of Parkinson's disease of 90%, placing it in a high-risk band, which indicates that specialist review is strongly suggested but does not confirm a diagnosis. The estimate was raised by observed voice characteristics, including fine-grained irregularity, issues with the spectral shape and dynamics of speech (articulation), and instability in pitch and amplitude (jitter and shimmer). Clinically, Parkinsonian speech can show imprecise articulation and altered timing; while common early features include tremor or slowness of movement, changes in speech are also possible. Remember that this risk estimate reflects the strength of evidence for further assessment only."
